"filename", "language", "JavaScript", "Markdown", "JSON", "CSS", "XML", "HTML", "comment", "blank", "total"
"c:\Users\hirok\Desktop\Twitcher\twitcherJS\README.md", "Markdown", 0, 5, 0, 0, 0, 0, 0, 4, 9
"c:\Users\hirok\Desktop\Twitcher\twitcherJS\eslint.config.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 2, 39
"c:\Users\hirok\Desktop\Twitcher\twitcherJS\index.html", "HTML", 0, 0, 0, 0, 0, 19, 0, 1, 20
"c:\Users\hirok\Desktop\Twitcher\twitcherJS\package-lock.json", "JSON", 0, 0, 4281, 0, 0, 0, 0, 1, 4282
"c:\Users\hirok\Desktop\Twitcher\twitcherJS\package.json", "JSON", 0, 0, 35, 0, 0, 0, 0, 1, 36
"c:\Users\hirok\Desktop\Twitcher\twitcherJS\public\vite.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\hirok\Desktop\Twitcher\twitcherJS\src\App.jsx", "JavaScript", 37, 0, 0, 0, 0, 0, 2, 5, 44
"c:\Users\hirok\Desktop\Twitcher\twitcherJS\src\assets\image\NotResult.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\hirok\Desktop\Twitcher\twitcherJS\src\assets\react.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\hirok\Desktop\Twitcher\twitcherJS\src\axios\axios.js", "JavaScript", 88, 0, 0, 0, 0, 0, 22, 15, 125
"c:\Users\hirok\Desktop\Twitcher\twitcherJS\src\components\Loading\Loading.jsx", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\hirok\Desktop\Twitcher\twitcherJS\src\components\NavBar\NavBar.jsx", "JavaScript", 88, 0, 0, 0, 0, 0, 7, 11, 106
"c:\Users\hirok\Desktop\Twitcher\twitcherJS\src\components\OverLay\AddedStream.jsx", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 4, 33
"c:\Users\hirok\Desktop\Twitcher\twitcherJS\src\components\OverLay\OverLay.jsx", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Users\hirok\Desktop\Twitcher\twitcherJS\src\components\Popular\PopularStream.jsx", "JavaScript", 69, 0, 0, 0, 0, 0, 0, 6, 75
"c:\Users\hirok\Desktop\Twitcher\twitcherJS\src\components\Popular\PopularStreams.jsx", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 6, 59
