"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\hirok\Desktop\Twitcher\twitcherJS\src\axios\axios.js", "JavaScript", 0, 0, -8, -2, -10
"c:\Users\hirok\Desktop\Twitcher\twitcherJS\src\components\NavBar\NavBar.jsx", "JavaScript", 4, 0, 8, -1, 11
"c:\Users\hirok\Desktop\Twitcher\twitcherJS\src\components\OverLay\AddedStream.jsx", "JavaScript", 0, 0, 0, 1, 1
"c:\Users\hirok\Desktop\Twitcher\twitcherJS\src\components\Popular\PopularStream.jsx", "JavaScript", 0, 0, 5, 1, 6
"c:\Users\hirok\Desktop\Twitcher\twitcherJS\src\components\Popular\PopularStreams.jsx", "JavaScript", 0, 0, 3, 1, 4
"c:\Users\hirok\Desktop\Twitcher\twitcherJS\src\components\Profile\GameStreamProfile.jsx", "JavaScript", 0, 0, 3, 1, 4
"c:\Users\hirok\Desktop\Twitcher\twitcherJS\src\components\Profile\StreamerProfile.jsx", "JavaScript", 0, 0, 0, 1, 1
"c:\Users\hirok\Desktop\Twitcher\twitcherJS\src\index.css", "CSS", 0, 28, 1, 6, 35
"c:\Users\hirok\Desktop\Twitcher\twitcherJS\src\pages\Games\GamesSearchPage.jsx", "JavaScript", 1, 0, 5, -1, 5
"c:\Users\hirok\Desktop\Twitcher\twitcherJS\src\pages\Home\HomeLayout.jsx", "JavaScript", 0, 0, 1, 0, 1
"c:\Users\hirok\Desktop\Twitcher\twitcherJS\src\pages\Stream\Stream.jsx", "JavaScript", 0, 0, 1, 2, 3
"c:\Users\hirok\Desktop\Twitcher\twitcherJS\src\pages\Streamer\StreamerSearchPage.jsx", "JavaScript", 0, 0, 3, 0, 3
"c:\Users\hirok\Desktop\Twitcher\twitcherJS\src\pages\game\GameStreamPage.jsx", "JavaScript", 0, 0, 4, 1, 5
"c:\Users\hirok\Desktop\Twitcher\twitcherJS\src\store\slice\gameStreamSlice.js", "JavaScript", 0, 0, -1, 0, -1
"c:\Users\hirok\Desktop\Twitcher\twitcherJS\src\store\slice\setStreamSlice.js", "JavaScript", 0, 0, 6, 0, 6
"c:\Users\hirok\Desktop\Twitcher\twitcherJS\src\store\slice\streamerSlice.js", "JavaScript", 0, 0, 3, 0, 3
"c:\Users\hirok\Desktop\Twitcher\twitcherJS\src\store\slice\topStreamSlice.js", "JavaScript", 0, 0, 2, 0, 2
"Total", "-", 5, 28, 36, 10, 79
